Tanggal|KODE EFEK|Nama Saham|Haircut|Keterangan|Status
20260630|AALI|ASTRA AGRO LESTARI Tbk|15|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ABBA|MAHAKA MEDIA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ABDA|ASURANSI BINA DANA ARTA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ABMM|ABM INVESTAMA Tbk|35|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ACES|ASPIRASI HIDUP INDONESIA Tbk|20|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ACST|ACSET INDONUSA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ADES|AKASHA WIRA INTERNATIONAL Tbk|40|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ADHI|ADHI KARYA (PERSERO) Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ADMF|ADIRA DINAMIKA MULTI FINANCE Tbk|20|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ADMG|POLYCHEM INDONESIA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|ADRO|ALAMTRI RESOURCES INDONESIA Tbk|20|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AGAR|ASIA SEJAHTERA MINA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AGII|SAMATOR INDO GAS Tbk|65|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AGRO|BANK RAYA INDONESIA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AGRS|BANK IBK INDONESIA Tbk|60|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AHAP|ASURANSI HARTA AMAN PRATAMA Tbk|95|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AIMS|ARTHA MAHIYA INVESTAMA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AISA|FKS FOOD SEJAHTERA Tbk|25|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AKKU|ANUGERAH KAGUM KARYA UTAMA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|AKPI|ARGHA KARYA PRIMA INDUSTRY Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
