Date|Code|Description|Type|Isin Code|Issuer|Status|Stock Exchange|Listing Date|Currency|Form|Eff. Date Isin|Maturity Date|Expire Date|Exercise Price|Interest|Interest Type|Interest Freq|Nominal Value|Num. of Sec|Originated Amt|Current Amt|Total Scripless|Local (%)|Foreign (%)|Total (%)|Sector|Closing Price
31-JUL-2026|SING|SINGLETERRA Tbk|EQUITY|ID1000086903|PT SINGLETERRA TBK,|ACTIVE|IDX||IDR|Electronic||||||||100|1579717070|||173000|0.01|0|0.01|WHOLESALE (DURABLE & NON DURABLE GOODS)|0
31-JUL-2026|SINI|SINGARAJA PUTRA Tbk|EQUITY|ID1000151905|SINGARAJA PUTRA Tbk, PT|ACTIVE|IDX|08-NOV-2019|IDR|Certificate||||||||100|1202500000|||1202500000|85.93|14.07|100|RESTAURANT, HOTEL & TOURISM|7450
31-JUL-2026|SIPD|SREEYA SEWU INDONESIA Tbk|EQUITY|ID1000133606|SREEYA SEWU INDONESIA Tbk, PT|ACTIVE|IDX||IDR|Electronic||||||||3950|1839102056|||1836236547|98.34|1.5|99.84|ANIMAL FEED|670
31-JUL-2026|SKBM|SEKAR BUMI Tbk|EQUITY|ID1000124407|SEKAR BUMI Tbk, PT|ACTIVE|IDX||IDR|Electronic||||||||100|1730103217|||1480749537|45.7|39.89|85.59|FOOD & BEVERAGES|550
31-JUL-2026|SKLT|SEKAR LAUT Tbk|EQUITY|ID1000059702|SEKAR LAUT Tbk, PT|ACTIVE|IDX|08-SEP-1993|IDR|Electronic||||||||10|6907405000|||6905813000|33.83|66.14|99.98|FOOD & BEVERAGES|204
31-JUL-2026|SKRN|SUPERKRANE MITRA UTAMA Tbk|EQUITY|ID1000146103|SUPERKRANE MITRA UTAMA Tbk, PT|ACTIVE|IDX|11-OCT-2018|IDR|Electronic||||||||20|7500000000|||1700000000|14.83|7.84|22.67|CONSTRUCTION|410
31-JUL-2026|SKYB|NORTHCLIFF CITRANUSA INDONESIA Tbk|EQUITY|ID1000115801|NORTHCLIFF CITRANUSA INDONESIA Tbk, PT|ACTIVE|IDX|07-JUL-2010|IDR|Electronic||||||||100|585000000|||585000000|55.67|44.33|100|RETAIL TRADE|51
31-JUL-2026|SLIS|GAYA ABADI SEMPURNA Tbk|EQUITY|ID1000151608|GAYA ABADI SEMPURNA Tbk, PT|ACTIVE|IDX|07-OCT-2019|IDR|Certificate||||||||50|2463367996|||2463367996|99.51|0.49|100|ELECTRONICS|63
31-JUL-2026|SMAR|SINAR MAS AGRO RESOURCES AND TECHNOLOGY Tbk|EQUITY|ID1000101504|PT SINAR MAS AGRO RESOURCES AND TECHNOLOGY Tbk. (PT. SMART TBK)|ACTIVE|IDX||IDR|Electronic|20-JUN-2005|||||||200|2872193366|||216823000|5.42|2.13|7.55|PLANTATION|5875
31-JUL-2026|SMBR|SEMEN BATURAJA (PERSERO) Tbk|EQUITY|ID1000127806|PERUSAHAAN PERSEROAN (PERSERO) PT SEMEN BATURAJA Tbk|ACTIVE|IDX|28-JUN-2013|IDR|Electronic||||||||100|9932534336|||2432534236|24.28|0.21|24.49|CEMENT|163
31-JUL-2026|SMCB|SOLUSI BANGUN INDONESIA Tbk|EQUITY|ID1000072309|SOLUSI BANGUN INDONESIA Tbk, PT|ACTIVE|IDX|10-AUG-1977|IDR|Electronic||||||||500|9019381973|||8999515054|84.5|15.28|99.78|CEMENT|775
31-JUL-2026|SMDM|SURYAMAS DUTAMAKMUR Tbk|EQUITY|ID1000067408|PT. SURYAMAS DUTAMAKMUR Tbk|ACTIVE|IDX|12-OCT-1995|IDR|Electronic|25-APR-2001|||||||500|4772138237|||4771976362|99.97|0.03|100|PROPERTY AND REAL ESTATE|555
31-JUL-2026|SMDR|SAMUDERA INDONESIA Tbk|EQUITY|ID1000075906|SAMUDERA INDONESIA Tbk, PT|ACTIVE|IDX||IDR|Electronic||||||||5|16375600000|||4102701150|22.3|2.76|25.05|TRANSPORTATION|300
31-JUL-2026|SMGA|SUMBER MINERAL GLOBAL ABADI Tbk|EQUITY|ID1000201809|SUMBER MINERAL GLOBAL ABADI Tbk, PT|ACTIVE|IDX|30-JAN-2024|IDR|Certificate||||||||20|8750000000|||5050000000|57.1|0.62|57.71|COAL MINING|71
31-JUL-2026|SMGR|SEMEN INDONESIA (PERSERO) Tbk|EQUITY|ID1000106800|SEMEN INDONESIA (PERSERO) Tbk, PT|ACTIVE|IDX|08-JUL-1991|IDR|Electronic|07-AUG-2007|||||||100|6751540089|||3293078334|23.41|25.37|48.78|CEMENT|1460
31-JUL-2026|SMIL|SARANA MITRA LUAS Tbk|EQUITY|ID1000189103|SARANA MITRA LUAS Tbk, PT|ACTIVE|IDX|12-MAY-2023|IDR|Certificate||||||||50|8751668469|||2201668469|24.94|0.22|25.16|MACHINERY AND HEAVY EQUIPMENT|400
31-JUL-2026|SMKL|SATYAMITRA KEMAS LESTARI Tbk|EQUITY|ID1000150204|SATYAMITRA KEMAS LESTARI Tbk, PT|ACTIVE|IDX|11-JUL-2019|IDR|Electronic||||||||100|3418085290|||668085290|14.53|5.01|19.55|PULP & PAPER|141
31-JUL-2026|SMKM|SUMBER MAS KONSTRUKSI Tbk|EQUITY|ID1000166408|SUMBER MAS KONSTRUKSI Tbk, PT|ACTIVE|IDX|09-MAR-2022|IDR|Certificate||||||||100|1253000000|||1253000000|72.78|27.22|100|BUILDING CONSTRUCTION|69
31-JUL-2026|SMLE|SINERGI MULTI LESTARINDO Tbk|EQUITY|ID1000201205|SINERGI MULTI LESTARINDO Tbk, PT|ACTIVE|IDX|10-JAN-2024|IDR|Certificate||||||||10|2328153048|||2268033048|85.03|12.39|97.42|CHEMICALS|157
31-JUL-2026|SMMA|SINAR MAS MULTIARTHA Tbk|EQUITY|ID1000094501|SINAR MAS MULTIARTHA Tbk, PT|ACTIVE|IDX|05-JUL-1995|IDR|Electronic|04-MAR-2003|||||||5000|6367664717|||6351183763|85.43|14.31|99.74|OTHERS - FINANCE|20175
